run,total_cost_eur
1,39200.29500145622
2,38984.51453247746
3,39112.64220255237
4,39025.60991527469
5,39151.54879051973
6,39103.49205257589
7,39166.28408683683
8,38975.11688930261
9,39072.153940045355
10,38999.08442658735
11,39121.03852139224
12,39087.71213971909
13,39138.70966513626
14,39228.82489613084
15,39073.06641554191
16,39107.770675021675
17,39054.56759966336
18,39056.86790316666
19,39043.350731971856
20,39144.3481841583
21,39023.736610650056
22,39034.23278060494
23,39088.926564102236
24,39087.36171457949
25,39005.92216372689
26,38867.75562281005
27,39077.05618557323
28,39139.68280582619
29,39050.39806755886
30,39085.31689559726
