run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,30.0,39648.74098265184,53067.60674024368,3.728599000023678
2,10002,30.0,39624.45154984563,53060.53423652967,3.6769402000063565
3,10003,30.0,39559.67123943415,52978.08410216151,3.7121753999963403
4,10004,30.0,39494.68888305691,52844.65093727157,3.8797296000120696
5,10005,30.0,39575.96835738186,52963.239126785214,3.7741832000028808
6,10006,30.0,39585.425488415654,52981.5529968844,3.7431022000091616
7,10007,30.0,39523.31214922938,52883.50008410587,3.667941499996232
8,10008,30.0,39446.6837270276,52778.15761009484,3.785845699982019
9,10009,30.0,39492.04152211499,52862.76555891133,3.853551999985939
10,10010,30.0,39633.27712188054,53039.631174864335,3.7340082000009716
11,10011,30.0,39520.37741744689,52896.96282170778,3.652120199985802
12,10012,30.0,885944996.3580042,53077.27873673806,3.750335399992764
13,10013,30.0,39406.472291006095,52722.05959833644,3.7059591000142973
14,10014,30.0,39507.09598247073,52867.289475997684,3.703045500005828
15,10015,30.0,39648.09639767477,53062.6120120756,3.661269300006097
16,10016,30.0,39626.00486093583,53027.90447218659,3.6929284000070766
17,10017,30.0,39467.97298446074,52817.63834511692,3.682622399996035
18,10018,30.0,39588.12188193654,52986.29279754438,3.6638558999984525
19,10019,30.0,39504.36487899624,52864.558771651566,3.658805199986091
20,10020,30.0,39569.47359081405,52999.21190466395,3.6521859999920707
21,10021,30.0,39583.81089241305,53041.67945762663,3.6653836999903433
22,10022,30.0,39616.35317828075,53015.77129398767,3.6324838000000454
23,10023,30.0,39521.68739604169,52896.815613818784,3.680397099989932
24,10024,30.0,39535.58721786322,52899.847903256465,3.7265168000012636
25,10025,30.0,39607.450258205376,53038.46050933547,3.6630981999915093
26,10026,30.0,39618.90839926461,53011.83408576718,3.6638361000223085
27,10027,30.0,39489.61296653267,52837.654544550416,3.6925602999981493
28,10028,30.0,39576.34591895018,52970.96990139681,3.7219752999953926
29,10029,30.0,39623.4500402131,53037.89623377646,3.689383099990664
30,10030,30.0,39552.01491786277,52926.24023216076,3.707674399978714
