run,total_cost_eur
1,39103.761154584616
2,39129.759362709
3,39235.33286873511
4,39097.37395112295
5,39139.722412114264
6,39084.8318295745
7,39176.35066112499
8,39140.220308640724
9,39186.71773787055
10,39012.12578956135
11,39017.43411481932
12,39101.436964718065
13,39179.15087364298
14,39244.62891559574
15,39221.19255465558
16,38998.01054347541
17,39170.2749872254
18,39157.6616075694
19,39094.03372508419
20,39187.189884677806
21,38974.63016930544
22,39058.21453652775
23,39083.66033779757
24,39017.82002511576
25,39232.19419476525
26,39086.36318621207
27,39002.67512012939
28,39085.0296053473
29,39129.85035909282
30,39174.25255840803
