run,seed,t_start,total_cost_eur,runtime_sec
1,10001,2.0,38841.35771492098,3.644677500000398
2,10002,2.0,38822.906808290725,3.634222699998645
3,10003,2.0,38788.74792224853,3.6320056000040495
4,10004,2.0,38950.28059606648,3.6484486000044853
5,10005,2.0,38966.345213062625,3.6171102000007522
6,10006,2.0,38774.82558061332,3.6397059000009904
7,10007,2.0,38967.02557207298,3.6511816999991424
8,10008,2.0,38802.11669183069,3.6357360999973025
9,10009,2.0,39001.764740062106,3.6390097999974387
10,10010,2.0,38938.91491013896,3.6133986999993795
11,10011,2.0,38919.60593528366,3.729655000002822
12,10012,2.0,38831.1397023101,3.6292064000008395
13,10013,2.0,38864.17078274208,3.651598999997077
14,10014,2.0,38721.245891784034,3.6383124999993015
15,10015,2.0,38830.758991133305,3.6545802999971784
16,10016,2.0,38836.512672360375,3.6343258999986574
17,10017,2.0,38843.29071962131,3.6378292000008514
18,10018,2.0,38997.63417407742,3.6493837000016356
19,10019,2.0,38933.68815322198,3.6498376999952598
20,10020,2.0,38899.8086534461,3.6880030000029365
21,10021,2.0,38762.69961506283,3.658897099994647
22,10022,2.0,38961.18873194176,3.6512626000039745
23,10023,2.0,39045.904805346945,3.63764529999753
24,10024,2.0,39049.177303024735,3.6515151999992668
25,10025,2.0,39049.04971113209,3.643939699999464
26,10026,2.0,38813.824701418365,3.6378446000016993
27,10027,2.0,38993.46969002147,3.6622611000057077
28,10028,2.0,38870.99727892046,3.6318903999999748
29,10029,2.0,38856.80055489716,3.6369108999933815
30,10030,2.0,38966.688568772974,3.657408699997177
