run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,18.0,38946.24683041041,52110.92463039642,3.7023897000181023
2,10002,18.0,39076.67764880249,52234.59963190397,3.745676300022751
3,10003,18.0,38897.011495323386,52044.60394134631,3.6939597000018694
4,10004,18.0,39136.06810905594,52314.49409955104,3.7011071000015363
5,10005,18.0,39006.029091939956,52193.299150609666,3.6645744999987073
6,10006,18.0,39083.50329260261,52299.187105574994,3.7164372999977786
7,10007,18.0,39015.44719643274,52229.36280684488,3.688646199996583
8,10008,18.0,39067.40541760862,52229.78632080816,4.005792600015411
9,10009,18.0,39050.422565161774,52277.245960958935,3.691697700007353
10,10010,18.0,39073.588989020456,52325.19369480941,3.7631733999878634
11,10011,18.0,39068.201132605,52274.311558222005,3.706219499988947
12,10012,18.0,38987.358987758904,52111.025231964086,4.090699699998368
13,10013,18.0,38888.02331978691,51973.63725486776,3.8837190000049304
14,10014,18.0,38940.681181952794,52048.48915301129,3.7058449999894947
15,10015,18.0,39114.520708798875,52347.21173896884,3.679342399991583
16,10016,18.0,39061.2773725803,52297.6120204589,3.687532399984775
17,10017,18.0,39039.520983582195,52232.719158768,3.7015596999845
18,10018,18.0,39014.51140253615,52202.273137339376,3.7070759999915026
19,10019,18.0,39120.93373096357,52362.488054715504,3.683316599985119
20,10020,18.0,39071.22298090131,52226.32549486387,3.7142523000075016
21,10021,18.0,39081.42677040717,52250.96156148351,3.690347700001439
22,10022,18.0,38958.18935735157,52182.09077041412,3.7172924999904353
23,10023,18.0,38959.74000706579,52076.22788101491,3.6714955999923404
24,10024,18.0,38930.83233762853,52078.23508405008,3.703118599980371
25,10025,18.0,38924.908968473734,52020.42715114602,3.675893300009193
26,10026,18.0,39064.28167396558,52231.84257842552,3.676392199995462
27,10027,18.0,39140.66350489393,52368.104426248996,3.6833888000110164
28,10028,18.0,39077.753302505145,52351.564944035475,3.6470945000182837
29,10029,18.0,39046.37059674609,52196.918154476734,3.683013600006234
30,10030,18.0,38917.2196185211,52112.532266904855,3.664012699999148
