run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,5.0,39220.28101832168,52573.68933793911,3.701984299987089
2,10002,5.0,39041.545585998494,52277.638546366994,3.9906224999867845
3,10003,5.0,39270.310441104026,52626.422498444925,3.733013099990785
4,10004,5.0,39156.03798380835,52465.07964075309,3.683442199981073
5,10005,5.0,39035.158934909065,52282.357818335346,3.8524581999809016
6,10006,5.0,39194.9234129797,52455.6358339432,3.6890272999880835
7,10007,5.0,39115.35941661146,52443.808815500895,3.7366492000001017
8,10008,5.0,39225.15211822715,52556.197797412926,3.6985275000042748
9,10009,5.0,39311.301395249364,52702.1200770194,3.6985674000170548
10,10010,5.0,39155.265181430696,52422.43631841636,3.701413100003265
11,10011,5.0,39285.25489202695,52595.29198114743,3.6940028999815695
12,10012,5.0,39133.75550079234,52379.10779261854,3.6983222999842837
13,10013,5.0,39129.32655434535,52388.476659763866,3.6726992999901995
14,10014,5.0,39295.256040989145,52676.58118388028,3.699133999994956
15,10015,5.0,39352.394931817595,52636.46049433536,3.665952900017146
16,10016,5.0,39036.06121728689,52278.326672945506,3.7100292000104673
17,10017,5.0,39352.32890925638,52754.82314190793,3.7114055000129156
18,10018,5.0,39254.6693713601,52544.69778805134,3.71592079999391
19,10019,5.0,39102.43100499528,52424.03645415488,3.692544999998063
20,10020,5.0,39112.87207011031,52422.67319264399,3.677776399999857
21,10021,5.0,39217.84243282081,52571.90169467756,3.7024854000192136
22,10022,5.0,39229.57354129948,52578.009406731166,3.789663700008532
23,10023,5.0,39345.966118851386,52644.101389091724,3.7018267999810632
24,10024,5.0,39176.20171707147,52525.46013362409,3.669419800018659
25,10025,5.0,39286.0223978592,52607.30826191405,3.695003100001486
26,10026,5.0,39321.05772963049,52735.500896310994,4.070867800008273
27,10027,5.0,39243.27789137928,52616.3670101318,3.691559500002768
28,10028,5.0,39251.940715286204,52552.52199262445,3.710971900000004
29,10029,5.0,39254.690241341385,52629.4531600244,3.690080100001069
30,10030,5.0,39167.17752735157,52453.20470332017,3.6840087000164203
