run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,6.0,39282.97478235134,52577.38602045147,3.6871311999857426
2,10002,6.0,39281.91171052582,52600.64119580816,3.7165906000009272
3,10003,6.0,39348.27606735749,52645.746338171004,3.7821239000186324
4,10004,6.0,39233.14368874483,52608.72238450183,4.2374283999961335
5,10005,6.0,39169.95908524482,52519.007306393716,3.692290100007085
6,10006,6.0,39300.303152119784,52660.511486815194,3.7004428999789525
7,10007,6.0,39315.219517719044,52606.46691152329,3.6979561999905854
8,10008,6.0,39311.43177849233,52635.16007030721,4.340242600010242
9,10009,6.0,39210.54163182646,52515.259720741735,3.7305737000133377
10,10010,6.0,39228.28913647391,52559.88148510356,3.702178300009109
11,10011,6.0,39232.90229480023,52582.32284122759,3.9458283999993
12,10012,6.0,39273.489571531165,52574.34841304461,3.9690522000018973
13,10013,6.0,39147.15109227116,52475.50175272583,3.7447677000018302
14,10014,6.0,39456.048457476594,52801.94911605016,3.7573604000208434
15,10015,6.0,39355.22220096691,52644.48923833926,3.7009962000011
16,10016,6.0,39141.38665958906,52404.81118103872,3.9335396999958903
17,10017,6.0,39232.05681190367,52591.555805618285,3.71822130001965
18,10018,6.0,39385.02156765994,52749.775067518836,3.7130079999915324
19,10019,6.0,39291.964719630225,52703.16751271119,3.711401000007754
20,10020,6.0,39324.21529673689,52623.117425298915,3.7449071000155527
21,10021,6.0,39416.7846107515,52739.154846378515,3.693907000008039
22,10022,6.0,39146.087100096665,52474.84394975276,3.7228582999960054
23,10023,6.0,39227.51545597531,52506.91445010875,4.084136799996486
24,10024,6.0,39320.62850831655,52660.181765119494,3.6998843000037596
25,10025,6.0,39407.963053558626,52859.9798830138,3.73493590002181
26,10026,6.0,39378.78662941761,52800.51079222667,3.702063700009603
27,10027,6.0,39250.87440491382,52612.45010925663,3.7099325000017416
28,10028,6.0,39406.85930659091,52826.330801352175,3.712627100001555
29,10029,6.0,39258.85453811285,52566.98511643708,3.8437924000027124
30,10030,6.0,39198.748672533264,52532.73015844728,3.692145299981348
