run,seed,t_start,total_cost_eur,runtime_sec
1,10001,23.0,39074.36330099368,3.840205100001185
2,10002,23.0,39043.73469513017,3.7304550999979256
3,10003,23.0,39165.31138677632,3.651236500001687
4,10004,23.0,39040.775810375555,3.6360740999953123
5,10005,23.0,39093.27150838122,3.649916200003645
6,10006,23.0,39166.331811626515,3.6814220000014757
7,10007,23.0,39001.62909635782,3.616439799996442
8,10008,23.0,39210.49280117825,3.6381615999998758
9,10009,23.0,38972.99265598118,3.6577316999973846
10,10010,23.0,39028.12731935989,3.676544099995226
11,10011,23.0,39076.100358236865,3.635644099995261
12,10012,23.0,39054.47081445284,3.6205219000039506
13,10013,23.0,38964.93714571651,3.611643999996886
14,10014,23.0,39074.27057388705,3.58894500000315
15,10015,23.0,39137.20519276311,3.60699939999904
16,10016,23.0,39001.11007201676,3.6126481000028434
17,10017,23.0,39018.119120851756,3.6273781999989296
18,10018,23.0,39102.792273418294,3.6301275999940117
19,10019,23.0,38945.3793073534,3.6226081999993767
20,10020,23.0,38986.69157580051,3.676080400000501
21,10021,23.0,39042.32530687613,3.650392899995495
22,10022,23.0,39001.10098237347,3.6110184000062873
23,10023,23.0,39068.52989862038,3.607120400003623
24,10024,23.0,38999.161308475654,3.622171900002286
25,10025,23.0,38986.72250079496,3.5847931999960565
26,10026,23.0,39192.47619709186,3.623899200007145
27,10027,23.0,39080.26819720101,3.618325700001151
28,10028,23.0,39178.48082144311,3.649720699999307
29,10029,23.0,38974.53172634835,3.651314899994759
30,10030,23.0,39035.99905268432,3.6065574000022025
