run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,4.0,39308.365099059585,52646.30594464655,3.714950699999463
2,10002,4.0,39107.11560910494,52397.55001822975,3.697792999999365
3,10003,4.0,39259.09886903062,52575.08744815485,3.952513900003396
4,10004,4.0,39218.24699779568,52559.49121745131,3.731712700013304
5,10005,4.0,39165.99127252161,52461.229973146736,3.7534691000182647
6,10006,4.0,39102.526627984895,52369.6615156296,3.7114721999969333
7,10007,4.0,39329.765259266016,52641.209285495184,3.7593727999774273
8,10008,4.0,39177.30224097527,52477.69659668111,3.7182898999890313
9,10009,4.0,39218.88707365217,52563.76433117523,3.702802799991332
10,10010,4.0,39226.69795153834,52552.85454175235,3.726852299994789
11,10011,4.0,39094.674610896844,52388.766327836616,3.681355100008659
12,10012,4.0,39118.44175859453,52371.3184473873,3.7107584000041243
13,10013,4.0,39030.10079448765,52317.1858257682,3.719506499997806
14,10014,4.0,39075.599658589184,52373.4896811989,3.7167459999909624
15,10015,4.0,39204.46268691384,52511.16299877252,3.704506699985359
16,10016,4.0,39148.24932986816,52481.43587227566,3.6997353000042494
17,10017,4.0,39185.90211713203,52520.19616023985,3.7186634999816306
18,10018,4.0,39087.97545426001,52327.933747282776,3.6909923999919556
19,10019,4.0,39203.74573133113,52554.81017765771,3.696586899983231
20,10020,4.0,39326.74243394125,52618.02684909056,3.7043555000273045
21,10021,4.0,39101.23195882168,52407.78720442872,3.7257034000067506
22,10022,4.0,39048.99038460338,52316.05379910681,3.80372600001283
23,10023,4.0,39170.31041794726,52419.74143043567,3.6971241000283044
24,10024,4.0,39031.2515987289,52271.19060355986,3.6887325000134297
25,10025,4.0,39250.20375479856,52581.41512446394,3.687674600019818
26,10026,4.0,39103.77701638894,52384.24815492204,3.7047110999992583
27,10027,4.0,39051.22631433487,52325.890591780226,3.701622699998552
28,10028,4.0,39093.368920239336,52375.11437419159,3.6815142999985255
29,10029,4.0,39131.75210034268,52461.82653717129,3.6882476000173483
30,10030,4.0,39150.094021759054,52499.018379640096,3.727356500021415
