run,seed,t_start,total_cost_eur,runtime_sec
1,10001,24.0,39090.89165762495,3.6332818000009866
2,10002,24.0,39130.539601269236,3.6191709999984596
3,10003,24.0,39095.728429737326,3.6232269999964046
4,10004,24.0,39145.77196503687,3.8257250000024214
5,10005,24.0,39073.688222328565,3.709626700001536
6,10006,24.0,38992.45926796422,3.6665305999995326
7,10007,24.0,39052.563885377385,3.632348200000706
8,10008,24.0,39072.01139825686,3.6396811999948113
9,10009,24.0,39166.779909358134,3.6393736000027275
10,10010,24.0,39086.02708448555,3.633733399998164
11,10011,24.0,39039.383551975174,3.641434000004665
12,10012,24.0,39091.79201589752,3.7209278000009363
13,10013,24.0,39097.88479318105,3.6607740000035847
14,10014,24.0,39155.00586118669,3.6310231999959797
15,10015,24.0,39214.66038886825,3.660520899997209
16,10016,24.0,39053.78435592246,3.614397800003644
17,10017,24.0,39118.42090451142,3.655901999998605
18,10018,24.0,39087.02946089384,3.6260782000026666
19,10019,24.0,39200.40504769599,3.624782699997013
20,10020,24.0,39153.93952387271,3.6262332999976934
21,10021,24.0,39043.298741033024,3.655056199997489
22,10022,24.0,39053.03994399524,3.683124000002863
23,10023,24.0,39131.2559594251,3.6601306999946246
24,10024,24.0,39181.62910931843,3.6531929000047967
25,10025,24.0,39175.662815199015,3.658100299995567
26,10026,24.0,39098.07116246086,3.6336015999986557
27,10027,24.0,39135.46691309382,3.65087240000139
28,10028,24.0,39126.767659191326,3.637567300000228
29,10029,24.0,39174.71902466356,3.6945743999967817
30,10030,24.0,39056.775067721,3.656445199994778
