run,total_cost_eur
1,39033.16180610228
2,39158.16143786342
3,39080.61876191854
4,38960.562757296386
5,39136.08867139436
6,39067.72366505699
7,38918.15319720073
8,39142.40673166358
9,39142.440244535894
10,39045.21600256896
11,39093.17756450515
12,39169.018102510876
13,39027.317865563076
14,38935.57254987673
15,39078.09575509144
16,38983.88598074131
17,39095.12300402146
18,39082.53738333368
19,39123.827169092474
20,39032.15792124018
21,39024.270485908266
22,39078.71306332558
23,39114.42876869523
24,39100.82834634879
25,39006.23431687576
26,38964.30236456862
27,39069.607583700476
28,39079.69258529348
29,39055.84810057952
30,39089.20013188306
