run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,3.0,39074.272592283756,52348.9974120604,3.7156341999943834
2,10002,3.0,39044.94539002743,52270.20463922487,3.7226691999821924
3,10003,3.0,39061.11156615571,52360.8210653922,3.996325899992371
4,10004,3.0,39026.43167503467,52303.45587314078,3.692304399999557
5,10005,3.0,39069.476135843404,52262.8879922346,3.685524100001203
6,10006,3.0,39001.58095966596,52262.14222288722,3.6870143999985885
7,10007,3.0,38891.03637492864,52108.667917474966,3.685386400000425
8,10008,3.0,39045.683455785555,52340.98659300553,3.6839868999959435
9,10009,3.0,39179.119381613,52497.53406951136,3.6891913000144996
10,10010,3.0,38965.28326259958,52194.01723869627,3.6872110000113025
11,10011,3.0,39102.208995133085,52426.30804638176,3.665558399981819
12,10012,3.0,39109.2687177267,52394.535008773375,3.7394306999922264
13,10013,3.0,38950.164380733884,52170.19052509474,3.693849900009809
14,10014,3.0,39039.1020407296,52314.695906342175,3.677792899979977
15,10015,3.0,39041.3604382555,52265.29659746996,3.689836400008062
16,10016,3.0,38987.14557294302,52220.221622182464,3.6996928000007756
17,10017,3.0,39031.95536537854,52268.85114295697,3.7349537999834865
18,10018,3.0,38893.96159872624,52104.716713603746,3.7070721999916714
19,10019,3.0,39173.72180455144,52473.14245398752,3.6985978000157047
20,10020,3.0,39074.741303104995,52378.535852700916,3.751260099990759
21,10021,3.0,38939.639419791994,52170.36429732386,3.889897300017765
22,10022,3.0,39042.55327816329,52341.4122564207,3.7340780000085942
23,10023,3.0,39128.26160591808,52357.20402869577,3.7372698000108358
24,10024,3.0,38982.29320759359,52215.80864418757,3.714722200005781
25,10025,3.0,39089.19874057265,52368.167263397336,3.6745060999819543
26,10026,3.0,39096.4043367109,52363.29407751333,3.9445915000105742
27,10027,3.0,39025.33081243938,52323.04858826856,3.7822662999969907
28,10028,3.0,39166.71407532563,52439.77211627437,3.694960599998012
29,10029,3.0,39044.31526146434,52325.616778172465,3.791433899983531
30,10030,3.0,38902.9560727871,52124.50844806774,3.7156094999809284
