run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,21.0,39127.51226604491,52349.32752584107,3.705154199997196
2,10002,21.0,39001.00427761288,52139.78112226306,3.6787970999721438
3,10003,21.0,39029.45158464862,52265.2200120489,3.965122900001006
4,10004,21.0,39128.48270931971,52418.78295513821,3.6818525999842677
5,10005,21.0,39057.59798822233,52283.73049517519,3.693636499985587
6,10006,21.0,38965.819355204505,52162.09242043686,3.8354636000003666
7,10007,21.0,39149.2226005843,52416.03492678181,3.7106421000207774
8,10008,21.0,39086.359130326666,52248.01482424658,3.6545325000188313
9,10009,21.0,39046.13917668431,52252.83787086213,3.6914710999990348
10,10010,21.0,39144.99402294694,52408.11354916272,3.669810299994424
11,10011,21.0,38923.65817527582,52027.38351718178,3.672737099986989
12,10012,21.0,39044.25555702562,52193.17182599519,3.6595929999893997
13,10013,21.0,38949.93795789635,52061.95583229835,3.696586699981708
14,10014,21.0,39141.26389256588,52440.33473484595,3.6946159999934025
15,10015,21.0,39137.15210149761,52463.110979863675,3.6584432999952696
16,10016,21.0,39008.40978503465,52248.102513779704,3.7151187999988906
17,10017,21.0,39104.46524329946,52275.39602089914,3.708676000009291
18,10018,21.0,38991.942982055945,52136.84822972253,3.719733300007647
19,10019,21.0,38976.15263538765,52098.5727031393,3.689671100000851
20,10020,21.0,38968.74802014442,52152.80622308475,3.6556759999948554
21,10021,21.0,39138.87377248311,52384.661953497285,3.717920700000832
22,10022,21.0,39000.1213877164,52244.62898952104,3.7158968999865465
23,10023,21.0,38994.37868734061,52123.460565361835,3.7155318000004627
24,10024,21.0,39075.04875516788,52247.4956090849,3.6715034999942873
25,10025,21.0,39052.61814937684,52291.553512473314,3.6557780999864917
26,10026,21.0,39004.31113736717,52202.668096672285,3.6543753999867477
27,10027,21.0,39104.93177635599,52299.459090836026,3.6940910999837797
28,10028,21.0,39154.202596497715,52437.42466213759,3.6621305999869946
29,10029,21.0,39112.6720168392,52280.31342824926,3.665558000007877
30,10030,21.0,39023.86698514208,52241.81528936944,3.666190899995854
