run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,12.0,39138.01984292314,52392.73662522484,3.7052590000093915
2,10002,12.0,39092.192423515706,52309.967850966095,3.686237300018547
3,10003,12.0,39104.86192503806,52286.94232434727,3.70600989999366
4,10004,12.0,39183.57133300503,52402.811249978244,4.071047200006433
5,10005,12.0,39116.07538280832,52370.47163675538,3.6855710000090767
6,10006,12.0,39140.68777320741,52361.09330176554,3.7810331999789923
7,10007,12.0,39210.945959108554,52451.70481689264,3.711323800001992
8,10008,12.0,39254.56404434858,52631.84442548508,3.7500232000020333
9,10009,12.0,39082.94162155998,52357.88351314983,3.718932300020242
10,10010,12.0,39220.66266591367,52446.40039800029,3.708544900000561
11,10011,12.0,39161.516252887544,52484.04988001789,3.6998288999893703
12,10012,12.0,39107.46663510103,52301.82796699502,3.714955599978566
13,10013,12.0,39090.708785397415,52336.632876622105,3.7121653000067454
14,10014,12.0,39199.51513377717,52449.73505972845,3.704344600002514
15,10015,12.0,39239.299343708364,52523.95440731976,3.711725800007116
16,10016,12.0,39044.29276391193,52214.8834542426,3.7140633999952115
17,10017,12.0,39254.28691369272,52538.48586670654,3.676975400012452
18,10018,12.0,39167.58110029506,52368.538631829375,3.6836029999831226
19,10019,12.0,39263.92392948223,52501.41081603457,3.704841700004181
20,10020,12.0,39173.43907041464,52381.821341712384,4.331173700018553
21,10021,12.0,39065.43946579572,52294.92502725418,3.8088074999977835
22,10022,12.0,39148.1783891312,52383.979864569985,3.821572599990759
23,10023,12.0,39049.100228102194,52262.46549304723,3.855487399996491
24,10024,12.0,39208.558458508865,52483.76666293079,3.78330590002588
25,10025,12.0,39160.91440001928,52365.53096487137,3.714109299995471
26,10026,12.0,39205.14888618076,52425.48969720123,3.7205665000074077
27,10027,12.0,39006.20514418978,52151.23292123159,3.727725200005807
28,10028,12.0,39217.09008763194,52522.62622770267,3.776735399995232
29,10029,12.0,39159.10371455412,52354.80373281272,3.710044100007508
30,10030,12.0,39157.35571156209,52423.25331867399,3.675872099993285
