run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,14.0,39161.37331289974,52420.573920194096,3.752195600012783
2,10002,14.0,38903.14704446641,52096.74808768384,3.6804600000032224
3,10003,14.0,39013.62365303124,52165.37635864042,3.717561299999943
4,10004,14.0,38981.756227184625,52121.522432862635,3.712946199986618
5,10005,14.0,39061.275739170895,52245.738066509126,3.712770799989812
6,10006,14.0,38935.712411702676,52095.201887724084,3.7333113999920897
7,10007,14.0,39027.120719746184,52289.97393582651,3.700072999985423
8,10008,14.0,39099.33494051546,52373.536292889214,3.688976100005675
9,10009,14.0,38961.07924694509,52081.99067302798,3.6847911000077147
10,10010,14.0,38980.51798284228,52213.14089652587,3.696102799993241
11,10011,14.0,38906.47510169006,52005.424164480944,3.6964478000008967
12,10012,14.0,38905.396782493,52066.034507787066,3.7132217999896966
13,10013,14.0,38917.67709737229,52110.576438593525,3.7002919999940787
14,10014,14.0,38861.00229854161,52008.20817903824,3.6979510999808554
15,10015,14.0,39039.72635663805,52272.42664768273,3.725945699989097
16,10016,14.0,39046.16837251748,52261.200533648545,3.716753199987579
17,10017,14.0,39110.22735328654,52402.41924154059,3.6940268999896944
18,10018,14.0,39016.026154159,52162.577607835505,3.6918580000055954
19,10019,14.0,39165.67925174459,52377.96277391547,3.701211300009163
20,10020,14.0,39066.24547001564,52236.432091139155,3.7049862000276335
21,10021,14.0,38917.392212024795,52051.751708799304,3.667248300014762
22,10022,14.0,38844.313988237045,51979.61552379665,3.6719686000142246
23,10023,14.0,39135.23583935993,52319.321374014944,3.6716373000235762
24,10024,14.0,38952.1394546322,52127.413486481026,3.699024100002134
25,10025,14.0,39065.44865453289,52292.88686167708,3.6839182999974582
26,10026,14.0,39156.54528660925,52434.08815229244,3.6765695000067353
27,10027,14.0,38996.71168783651,52245.28426654173,3.6796520999923814
28,10028,14.0,38964.72844684912,52138.226481025595,3.6942691000003833
29,10029,14.0,38969.32114191666,52155.20545460752,3.683504999993602
30,10030,14.0,38944.90399055901,52130.80103518418,3.7036744999932125
