run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,10.0,39313.65212944468,52588.05282963501,3.6974800000025425
2,10002,10.0,39218.9110214841,52553.00899576645,3.8463422000058927
3,10003,10.0,39308.651766424504,52594.468919991705,3.836165400018217
4,10004,10.0,39346.357741412365,52654.60096253271,3.9703300000110175
5,10005,10.0,39298.26364970899,52580.40815807688,3.70974419999402
6,10006,10.0,39266.597785882666,52556.38323620525,3.693731699982891
7,10007,10.0,39292.581164263436,52553.0872269633,3.7093726999883074
8,10008,10.0,39243.16540532929,52517.056350482235,3.686295399995288
9,10009,10.0,39227.485228521204,52541.66052960228,3.6982184999797028
10,10010,10.0,39273.29560189854,52587.68992837269,3.708073299989337
11,10011,10.0,39337.362544036325,52630.56781375749,3.698131099983584
12,10012,10.0,39136.1164413,52376.63446899345,3.7247072999889497
13,10013,10.0,39163.027054609825,52474.55495453015,3.71156249998603
14,10014,10.0,39385.69059505411,52764.076618442654,3.7194431999814697
15,10015,10.0,39271.54508467565,52534.49048479296,3.7028508000075817
16,10016,10.0,39221.10063351607,52446.06847823488,3.7389554000110365
17,10017,10.0,39234.95185546453,52465.259557029305,3.7036475999921095
18,10018,10.0,39240.14872975791,52512.90088293967,3.71121760000824
19,10019,10.0,39341.213968707074,52620.89569365153,3.707311700010905
20,10020,10.0,39223.41582107555,52589.51963554581,3.708469500008505
21,10021,10.0,39330.23867058898,52629.98230240034,3.725137300003553
22,10022,10.0,39178.88920492907,52399.16568726447,3.6978722999920137
23,10023,10.0,39155.84130358667,52458.91774825984,3.8689600999932736
24,10024,10.0,39349.74264697456,52658.66774749946,3.684654299984686
25,10025,10.0,39294.55311397079,52560.927925237236,3.709786499995971
26,10026,10.0,39342.602914653085,52610.57076068342,3.713196099997731
27,10027,10.0,39165.16655282057,52426.83968792586,3.707491299981484
28,10028,10.0,39163.57619026211,52366.2556304962,3.7356021000014152
29,10029,10.0,39314.28364394835,52687.24846260726,3.685791700001573
30,10030,10.0,39142.344385104516,52347.43219701113,3.6915784999728203
