run,total_cost_eur
1,39066.06830347313
2,39110.39158713599
3,39009.617926978884
4,38994.49668511656
5,39137.64993245098
6,39239.81392635578
7,39174.21540012654
8,39162.36555004952
9,38980.90162402045
10,39178.73769444645
11,39074.29113409337
12,39138.69329234382
13,39124.166360995216
14,39008.41686605279
15,39055.438559803355
16,39168.342551310154
17,39026.50102543813
18,39016.993037325825
19,39053.44114259381
20,39154.413048680006
21,39150.72471264497
22,39107.60945682765
23,39183.73094989225
24,39149.312915372706
25,39104.9462283413
26,39127.96552533825
27,39158.317551927474
28,39068.07044021539
29,38982.185720379246
30,38969.47322813415
