run,total_cost_eur
1,38895.91309709088
2,39111.418500806096
3,39038.35072652654
4,38939.30039013362
5,39079.252655571065
6,39152.98347256868
7,39050.27504315568
8,38969.19647156594
9,39020.1305627951
10,38913.47452806676
11,39052.278134012304
12,39059.195061447834
13,39114.19086355118
14,39017.26478772325
15,38940.32414190808
16,39067.43118110347
17,39117.57753446037
18,39092.712881898864
19,39052.42194992576
20,39025.382956247144
21,39058.40648937686
22,39166.91296360267
23,39028.06386351974
24,39027.323746917486
25,39035.4241147358
26,39043.07482258963
27,39079.535350245125
28,39049.41068063552
29,38980.04875920338
30,39033.02004162085
