run,total_cost_eur
1,39080.273922025306
2,39081.69830518274
3,39082.221938122806
4,39128.049854329125
5,39100.64851004821
6,39138.25362019762
7,39062.1990122708
8,38994.458468975005
9,38934.83406857702
10,39085.678832354824
11,39058.66564349265
12,38892.38786684162
13,39194.83920078965
14,39035.8751614009
15,39109.77020099264
16,39138.29549733707
17,38973.07125737954
18,39134.091693749215
19,39211.659407557956
20,39151.29463607072
21,39156.66971451356
22,39097.92374556505
23,39033.233968472996
24,39148.64761325774
25,39015.73786562185
26,38992.96911941313
27,39175.853868152306
28,39180.05823928009
29,38906.246544872025
30,39110.39066051113
