run,total_cost_eur
1,39069.4031271049
2,39018.452554678974
3,38927.95621782598
4,39068.522950236315
5,38942.993674990525
6,38946.19967851505
7,39095.33161869631
8,38987.571364281364
9,39033.253528244946
10,38992.2298675434
11,39034.959383286536
12,38988.21775711028
13,38995.17066612922
14,39014.281094308666
15,39062.60088471258
16,39159.49171927638
17,39050.960153409105
18,38942.03388955568
19,39029.30337101162
20,39030.28264929941
21,39112.27049047677
22,39011.1202705334
23,39094.79837907502
24,39039.41518893081
25,39113.26959088058
26,38939.28729778985
27,39097.74487227331
28,39073.818287118105
29,38892.195698345946
30,39161.76975322206
