run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,16.0,38927.9334578921,52164.55525065734,3.7113211000105366
2,10002,16.0,38906.93457829745,52062.880702616145,3.7489491000014823
3,10003,16.0,38930.75391005882,52103.10171413556,3.6837688999949023
4,10004,16.0,39108.391838450414,52355.204912647954,3.7116209999949206
5,10005,16.0,39036.73622970029,52269.66347499405,3.700195600016741
6,10006,16.0,39038.983302613175,52194.24493420328,3.6997602000192273
7,10007,16.0,38975.90890073778,52140.44877158864,3.8457738000142854
8,10008,16.0,39018.85626690186,52253.7177489885,3.681691800011322
9,10009,16.0,39034.70028449053,52232.877100880636,3.6949947999964934
10,10010,16.0,38987.53192359023,52190.09002289883,3.703610700002173
11,10011,16.0,38996.61242510496,52173.30713739514,3.713029500009725
12,10012,16.0,38932.743358531385,52031.194375072366,3.7764742999861483
13,10013,16.0,38896.59512141205,51983.63676673777,3.7605532000015955
14,10014,16.0,39012.08971218488,52223.657124934114,3.742884300008882
15,10015,16.0,39018.44416169861,52217.425185831205,3.7335500000044703
16,10016,16.0,39091.52006553449,52343.152766020656,3.7429074000101537
17,10017,16.0,38963.18227034528,52142.71278025252,3.719117800006643
18,10018,16.0,39088.71244120548,52323.1516323124,3.7200570999993943
19,10019,16.0,38995.25748976725,52164.773387445355,3.7170543000102043
20,10020,16.0,38951.45830403309,52091.66938872656,3.75139429999399
21,10021,16.0,38957.46488310959,52072.3954965102,3.701009000011254
22,10022,16.0,38965.560339045165,52176.33475019091,3.6916282999736723
23,10023,16.0,38994.869209885015,52121.22560661501,3.718984000006458
24,10024,16.0,39031.082511710294,52208.47399552437,3.697196100023575
25,10025,16.0,39070.99224467251,52297.48964606486,3.6896836000087205
26,10026,16.0,38976.33112122589,52151.35660649671,3.7054536000068765
27,10027,16.0,39119.26383115103,52388.49760969188,3.7008580999972764
28,10028,16.0,39052.53560587901,52230.185681085466,3.70688130002236
29,10029,16.0,39050.308832010734,52292.50622805899,3.7187968000071123
30,10030,16.0,38871.6867044645,52018.049334981304,3.734176899975864
