run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,27.0,39385.80248945627,52671.469383538366,3.7179112999874633
2,10002,27.0,39349.38298250407,52634.8370186349,3.7185572999878787
3,10003,27.0,39368.688396308586,52671.38641065088,3.717178899998544
4,10004,27.0,39397.603285172845,52810.64859075877,3.740021599980537
5,10005,27.0,39419.6053769756,52867.332272169,3.789102799986722
6,10006,27.0,39386.31198928394,52681.74416101853,3.7211392000026535
7,10007,27.0,39302.48482969168,52560.300999084924,3.72084329999052
8,10008,27.0,39421.91642695462,52742.92811439744,3.909410199994454
9,10009,27.0,39289.053477564266,52546.38124976779,3.7431550000037532
10,10010,27.0,39215.7458624278,52452.69854054636,3.757096699991962
11,10011,27.0,39305.94383647129,52613.396732439585,3.7581498000072315
12,10012,27.0,39206.16255976836,52431.506480732896,3.7192193000228144
13,10013,27.0,39375.07236409193,52671.98151850402,3.70127630000934
14,10014,27.0,39303.67599034366,52651.963014518,3.7106141000112984
15,10015,27.0,39271.015270998585,52544.39661642325,3.6953925999987405
16,10016,27.0,39403.89247674466,52866.319627545236,3.7145071999984793
17,10017,27.0,39448.951932169046,52763.36071260819,3.7192290000093635
18,10018,27.0,39304.757277127086,52572.54065230713,3.684016600018367
19,10019,27.0,39275.92343076863,52642.85083898297,3.697012499993434
20,10020,27.0,39406.17709263344,52800.579929543936,3.7054776000150014
21,10021,27.0,39362.36484215307,52654.530919420176,3.7078165000129957
22,10022,27.0,39327.18749941725,52717.70863649786,3.6855391999997664
23,10023,27.0,39399.889236102514,52756.807681576596,3.743632300000172
24,10024,27.0,39441.7802892187,52763.9247067399,3.684912800003076
25,10025,27.0,39312.6810117952,52606.08712440884,3.6763693999964744
26,10026,27.0,39367.78949171822,52653.173021461815,3.822683100006543
27,10027,27.0,39444.3922247955,52784.81557952452,3.742784500005655
28,10028,27.0,39305.421635422106,52618.81082157957,3.7169592000136618
29,10029,27.0,39242.59538014385,52490.19281319705,3.70522410000558
30,10030,27.0,39337.875139786105,52615.31712800828,3.756245199998375
