run,total_cost_eur
1,39042.085761515125
2,38998.01668612091
3,39151.78857517537
4,39167.24062214866
5,39059.6290117614
6,39071.30299122441
7,39057.11294640341
8,39200.31978584536
9,39041.4486000679
10,39067.07518607429
11,39042.12854534201
12,39138.667718877005
13,39143.94749077809
14,38977.55227501606
15,39062.44610579165
16,39130.94174508703
17,39178.70297126444
18,39032.546632979574
19,39157.2525639211
20,38985.35281493529
21,39112.30525922811
22,38943.597452855
23,38975.68647355664
24,39227.59870323061
25,39024.97335995811
26,39171.82487020646
27,39086.462687434236
28,39202.36593349836
29,39208.86294880816
30,39201.192439667466
