run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,20.0,39129.52058497203,52437.14395029117,4.042931599979056
2,10002,20.0,38975.525774352864,52115.74237924626,3.7075539999932516
3,10003,20.0,39116.48988469406,52307.14992422198,3.715300699986983
4,10004,20.0,39072.52717381746,52252.552390843084,3.672454099985771
5,10005,20.0,39042.34323348736,52307.296038036046,3.695458600006532
6,10006,20.0,39007.37900312983,52230.59706299578,3.7008227999904193
7,10007,20.0,39089.931739437656,52332.37061793746,3.726228000014089
8,10008,20.0,39080.504319548985,52263.802084119685,3.6770508000045083
9,10009,20.0,39030.80886649947,52224.37543070114,3.680423100013286
10,10010,20.0,38998.87164766064,52190.20754642571,3.7068059000012
11,10011,20.0,39101.86679484601,52338.468353209166,3.6771371999930125
12,10012,20.0,39041.33816577122,52188.015418563205,4.033368900010828
13,10013,20.0,38931.158155853554,52034.40548568806,3.7351109000155702
14,10014,20.0,38925.19750724977,52081.16571401676,3.658703900000546
15,10015,20.0,39041.03673966778,52272.34185999368,3.6831384999968577
16,10016,20.0,38968.67144989139,52149.69596192105,3.6818151000188664
17,10017,20.0,39063.2399921669,52214.98255912673,3.701410700014094
18,10018,20.0,39060.50291710977,52212.611431724814,3.6656485999992583
19,10019,20.0,39075.263614628544,52250.57624262169,3.7017416000016965
20,10020,20.0,39043.23073965578,52200.46793550277,3.700773399992613
21,10021,20.0,39063.65900978199,52260.780956707065,3.7041215999925043
22,10022,20.0,38928.657467733145,52138.62188544149,3.711459999991348
23,10023,20.0,39150.58292977543,52339.05208876521,3.8712518999818712
24,10024,20.0,38946.29626065861,52112.186975243414,3.6819625000061933
25,10025,20.0,39092.839277929605,52299.081447441175,3.6589324999949895
26,10026,20.0,38961.794692958036,52085.273693289484,3.677441700012423
27,10027,20.0,39024.78416004639,52162.95871122618,3.7025974999996834
28,10028,20.0,39105.79896370346,52423.90738433585,3.6996819999767467
29,10029,20.0,38884.45152911926,51967.405306546745,3.6644889999879524
30,10030,20.0,39049.22546452871,52249.36341297658,3.6863715999934357
