run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,15.0,39038.701096416815,52304.01883883323,3.7060740000160877
2,10002,15.0,39005.14756538809,52157.154337899534,3.6994925000180956
3,10003,15.0,38895.37863066144,52098.998875623096,4.1828005000134
4,10004,15.0,39071.21395496466,52257.762914954474,3.719027700019069
5,10005,15.0,38963.0700107607,52174.46983763491,3.7331361999968067
6,10006,15.0,38954.11122430773,52134.628259191755,3.6964797000109684
7,10007,15.0,38944.30455856341,52089.66326776993,3.7263191000092775
8,10008,15.0,38971.432251050246,52219.06774882851,3.7021820999798365
9,10009,15.0,39086.53481506215,52314.319243292564,5.995321900001727
10,10010,15.0,39172.91694639609,52406.1349460668,4.645748300012201
11,10011,15.0,38937.85483729262,52069.66598652299,4.046393399999943
12,10012,15.0,38910.85242968629,52009.29426377622,4.133225900004618
13,10013,15.0,38889.15841180739,51975.938589275545,3.8233404000056908
14,10014,15.0,39021.95912185019,52265.858378178025,3.7647071999963373
15,10015,15.0,39027.35794314414,52269.29576135449,3.7459522999997716
16,10016,15.0,39055.624129983655,52203.58095945348,3.777797199989436
17,10017,15.0,38935.36673635152,52088.23565879792,3.7464268000039738
18,10018,15.0,38931.70415288822,52152.37376887981,3.7376678000146057
19,10019,15.0,38863.62595658417,51990.29318549165,3.6952085999946576
20,10020,15.0,39078.598134336644,52240.6851106103,3.7130407999793533
21,10021,15.0,38986.657128718674,52206.80723844446,4.052740100014489
22,10022,15.0,38925.81768440589,52086.513502850576,4.0215662000118755
23,10023,15.0,38988.79071660723,52183.999424088666,3.7219361000170466
24,10024,15.0,38978.47600671348,52099.801614286356,3.721593900001608
25,10025,15.0,38989.33614596971,52110.43288177584,3.738384099997347
26,10026,15.0,39039.317223507256,52200.77652253646,3.748572599986801
27,10027,15.0,39046.21289543737,52284.846972279556,4.148395199998049
28,10028,15.0,39134.634905989355,52342.04515742709,3.75204130000202
29,10029,15.0,38907.88436104027,52006.13879515881,3.6513877999968827
30,10030,15.0,38986.550877039364,52156.21575733593,3.6865625999926124
