run,total_cost_eur
1,39015.80169968427
2,39012.57730444644
3,39091.50943260115
4,39146.0505174886
5,38905.95787819866
6,39129.62156483878
7,39030.55848991182
8,38999.78837296804
9,39032.437034754665
10,38997.885327947006
11,38970.24341303729
12,39092.60620212021
13,39078.20795471326
14,39055.598844526045
15,39120.289620589436
16,39012.17364791804
17,39047.11594857401
18,39116.23730643888
19,39016.179685597715
20,39051.89939716321
21,39056.347593074934
22,39049.056133259175
23,39142.67420788828
24,39239.69754326572
25,39052.59351143597
26,38983.40238294924
27,39086.1257830485
28,38973.411955394964
29,38995.97715836545
30,39135.827938167145
