run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,25.0,39134.786862145455,52314.519463882265,3.7055675000010524
2,10002,25.0,39175.45621250895,52435.00552022462,3.678986500017345
3,10003,25.0,39165.05585998345,52468.149897961026,3.7233101000019815
4,10004,25.0,39322.35364777884,52623.28275016938,3.7123889999929816
5,10005,25.0,39347.99201433562,52712.55759347575,3.695247900002869
6,10006,25.0,39234.07853758527,52450.497548879874,3.7472887999902014
7,10007,25.0,39196.474710934024,52427.34589889641,3.749521999998251
8,10008,25.0,39186.98841274664,52529.22885494941,3.761604900006205
9,10009,25.0,39189.94599017983,52419.35505336878,3.733230099984212
10,10010,25.0,39302.215041211886,52692.79003567089,3.6681582999881357
11,10011,25.0,39273.320833051446,52529.049609022004,3.669158500008052
12,10012,25.0,39204.54527661109,52428.85305269726,3.6679972000129055
13,10013,25.0,39260.40669007176,52546.675992953256,3.701040100015234
14,10014,25.0,39264.81184443465,52543.12342097814,3.751560700009577
15,10015,25.0,39063.05387012636,52365.296608305965,3.699495200009551
16,10016,25.0,39215.16148044876,52440.996791040365,3.684370200004196
17,10017,25.0,39129.26321972158,52332.0991663919,3.688768499996513
18,10018,25.0,39263.666627196704,52529.03105597542,3.6766023999953177
19,10019,25.0,39197.54658004587,52507.62066761115,3.691528199997265
20,10020,25.0,39156.79989953052,52487.07078613836,3.7024680000031367
21,10021,25.0,39248.73778018925,52507.27350220994,3.7017898999911267
22,10022,25.0,39115.86632500778,52409.614382300475,3.711913499981165
23,10023,25.0,39130.03597143765,52429.82940655853,3.728203199978452
24,10024,25.0,39169.01696885221,52422.768528997374,3.704214099998353
25,10025,25.0,39143.35951551349,52381.64750737024,3.6894415999995545
26,10026,25.0,39298.422980482355,52632.50798195084,3.6815423000080045
27,10027,25.0,39186.095451417474,52419.71586329289,3.7001083999930415
28,10028,25.0,39077.12126047227,52363.834129855175,3.690377000020817
29,10029,25.0,39140.14868525648,52337.14088876261,3.6831182000169065
30,10030,25.0,39115.23081723084,52291.70180175512,3.6942502000019886
