run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,17.0,39080.3831417408,52368.79837249196,3.703308600001037
2,10002,17.0,39043.5578245329,52192.78635451206,3.6987475999922026
3,10003,17.0,38834.65806902613,51962.311824906305,3.7488081000046805
4,10004,17.0,38958.6185693214,52157.21838220638,3.7123791000049096
5,10005,17.0,38936.44849409881,52131.178786699915,3.7836995999969076
6,10006,17.0,39024.49298504382,52176.06690693345,3.720483000011882
7,10007,17.0,38827.767919767364,51985.31956080942,3.970613700017566
8,10008,17.0,39074.334039530455,52352.99519419582,3.8587160000170115
9,10009,17.0,39071.10839853649,52283.3215518247,3.6914541000151075
10,10010,17.0,39011.12404830359,52148.45452099291,3.6626223000057507
11,10011,17.0,39111.16895712292,52332.258838735856,3.7002985999861266
12,10012,17.0,38867.51421767983,52005.5356895602,3.717112399986945
13,10013,17.0,38877.34110583061,51957.774343233286,3.6894814999832306
14,10014,17.0,38987.749259776625,52176.26465844954,3.696740999992471
15,10015,17.0,38863.81273184592,52004.979029274415,3.6960086000035517
16,10016,17.0,39100.6948505925,52361.64912641267,3.693899500009138
17,10017,17.0,38959.13030805269,52140.76932680511,3.6658422999898903
18,10018,17.0,39167.3227434725,52414.10633788624,3.6929174000106286
19,10019,17.0,39027.74853834609,52235.20981526934,3.7054676999978255
20,10020,17.0,39091.27427713957,52360.84782204834,3.7272768999973778
21,10021,17.0,39050.62724471019,52195.88174562703,3.667901799984975
22,10022,17.0,38949.698219997066,52155.27581633793,3.7140468999859877
23,10023,17.0,38987.84112066333,52110.633907066775,3.671950799995102
24,10024,17.0,39014.996437640075,52157.663988659406,3.684016099985456
25,10025,17.0,39095.0136930826,52342.70780339996,3.6939368000021204
26,10026,17.0,38936.781008466925,52175.56976540205,3.6756482000055257
27,10027,17.0,38862.609865076156,52057.26419367348,3.66627509999671
28,10028,17.0,38983.32980899145,52137.10722266574,3.678266100003384
29,10029,17.0,39049.00813832259,52194.05531906499,3.6901149000041187
30,10030,17.0,39038.081008137735,52194.30067150379,3.6848483000067063
