run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,7.0,39408.95083603672,52740.296848927275,3.77699610000127
2,10002,7.0,39246.406607136196,52519.52063293235,3.994199299981119
3,10003,7.0,39265.72568209018,52625.50825601205,3.718285899987677
4,10004,7.0,39331.15785152219,52682.084173761454,3.7330493000044953
5,10005,7.0,39351.64711814745,52796.26842310287,3.7024986000033095
6,10006,7.0,39329.33981153082,52742.15736449789,3.7049368000007235
7,10007,7.0,39294.30302547372,52666.66423762375,3.73546830000123
8,10008,7.0,39227.742044418366,52641.349007144694,3.6994785999995656
9,10009,7.0,39458.898325228794,52905.65517695338,3.730066899996018
10,10010,7.0,39350.423460669605,52725.61431428855,3.7164561999961734
11,10011,7.0,39315.14677363949,52597.16111970207,3.74993409999297
12,10012,7.0,39228.85148910842,52488.29915915747,3.798136600002181
13,10013,7.0,39152.98654356294,52437.11647653981,3.7299723999749403
14,10014,7.0,39433.32759432929,52859.80560111628,3.7597573999955785
15,10015,7.0,39297.28134054091,52663.04012897741,3.729480199981481
16,10016,7.0,39307.833412705455,52616.668532894335,3.709665700007463
17,10017,7.0,39387.82953966382,52805.92950538525,3.7310283000115305
18,10018,7.0,39299.21884961429,52609.21360835831,3.707378300023265
19,10019,7.0,39221.90108184813,52498.02625564946,3.7019519000023138
20,10020,7.0,39317.78865242633,52648.977660572964,3.712599799997406
21,10021,7.0,39287.927946554046,52582.43197167733,3.7040722999954596
22,10022,7.0,39187.19047830026,52501.25065501389,3.718788600002881
23,10023,7.0,39301.26098199294,52650.64484111386,3.7079905999999028
24,10024,7.0,39335.83827462547,52688.04602283628,3.7052608000230975
25,10025,7.0,39342.770870197375,52655.74902695388,3.814337899995735
26,10026,7.0,39183.91641571736,52486.36745698597,3.70269149998785
27,10027,7.0,39340.76470364096,52692.513610081936,3.7150118999998085
28,10028,7.0,39235.406863800934,52588.664211698655,3.7012156000128016
29,10029,7.0,39152.428666059444,52485.76277996125,3.7146955999778584
30,10030,7.0,39312.594900472366,52658.47377556461,3.6967288999876473
