run,total_cost_eur,total_fuel_kg,total_time_h,end_weight_kg,trajectory_len,best_solution
40,39140.55688659133,52463.41140855766,7.406238816886324,205279.58859144239,31,"[0, 7, 28, 49, 71, 92, 114, 135, 155, 175, 196, 216, 237, 259, 280, 302, 324, 346, 368, 390, 411, 432, 453, 475, 496, 517, 538, 559, 579, 600, 610]"
41,39233.63575852771,52556.30429005679,7.420540267656241,205186.69570994325,31,"[0, 5, 27, 47, 69, 91, 113, 134, 154, 174, 195, 215, 237, 258, 280, 302, 324, 346, 368, 390, 411, 433, 455, 477, 499, 519, 540, 562, 583, 604, 610]"
42,39196.955040380824,52577.84809615159,7.423914173506664,205165.1519038484,31,"[0, 9, 29, 50, 71, 91, 112, 134, 156, 176, 196, 216, 237, 258, 279, 301, 322, 344, 366, 388, 409, 430, 451, 473, 495, 516, 537, 559, 579, 600, 610]"
43,39228.55845116171,52595.87365257139,7.4266193983258315,205147.12634742854,31,"[0, 11, 31, 51, 71, 93, 114, 135, 155, 175, 196, 217, 239, 260, 282, 304, 326, 347, 369, 391, 412, 434, 455, 477, 498, 519, 540, 561, 582, 602, 610]"
44,39204.41134809199,52551.14001805138,7.419775721935977,205191.8599819486,31,"[0, 7, 29, 51, 71, 91, 112, 133, 153, 174, 196, 216, 237, 258, 280, 301, 322, 343, 365, 387, 409, 431, 453, 475, 497, 518, 540, 561, 582, 604, 610]"
45,39236.042393576936,52586.24594406455,7.425150565773178,205156.75405593537,31,"[0, 2, 22, 44, 66, 88, 108, 130, 151, 172, 194, 216, 237, 259, 280, 301, 322, 344, 366, 388, 410, 431, 453, 475, 496, 517, 538, 559, 580, 602, 610]"
46,39350.82905448444,52803.517985564875,7.458682690216777,204939.48201443505,31,"[0, 12, 32, 52, 72, 92, 113, 133, 153, 174, 196, 217, 238, 258, 280, 301, 322, 343, 365, 386, 408, 430, 452, 473, 495, 517, 538, 559, 581, 603, 610]"
47,39127.83445237089,52429.76354261005,7.401064573161104,205313.23645738995,31,"[0, 7, 27, 49, 71, 92, 112, 133, 153, 174, 194, 216, 237, 258, 279, 301, 323, 344, 366, 388, 410, 432, 454, 476, 497, 518, 540, 561, 583, 604, 610]"
48,39205.927033602115,52447.98860348971,7.403971123329345,205295.01139651032,31,"[0, 16, 36, 58, 79, 101, 123, 144, 166, 187, 208, 230, 251, 272, 293, 314, 335, 356, 377, 398, 420, 441, 462, 483, 504, 525, 546, 566, 587, 608, 610]"
49,39242.281449110546,52663.24633594675,7.437073052245829,205079.75366405328,31,"[0, 10, 30, 50, 71, 93, 113, 135, 156, 177, 198, 218, 239, 259, 280, 301, 322, 344, 366, 387, 409, 430, 451, 473, 495, 516, 538, 559, 580, 602, 610]"
50,39198.85643473848,52535.041947443926,7.417332684649847,205207.9580525561,31,"[0, 9, 29, 50, 71, 92, 112, 133, 153, 173, 193, 214, 235, 256, 278, 298, 320, 342, 364, 386, 407, 429, 451, 473, 495, 516, 537, 558, 579, 600, 610]"
51,39346.73285012268,52640.99558389559,7.433660646208805,205102.0044161045,31,"[0, 20, 41, 62, 82, 103, 124, 145, 166, 187, 208, 229, 250, 271, 293, 314, 336, 356, 378, 399, 420, 441, 462, 483, 504, 525, 546, 567, 588, 609, 610]"
52,39215.322579756314,52583.19449642308,7.424688429930028,205159.805503577,31,"[0, 6, 26, 48, 70, 92, 113, 134, 155, 177, 197, 218, 238, 259, 280, 302, 324, 345, 367, 389, 411, 432, 453, 475, 496, 517, 539, 560, 581, 603, 610]"
53,39216.0119276509,52443.22404119777,7.403261043320128,205299.7759588022,31,"[0, 21, 42, 62, 84, 105, 125, 147, 168, 189, 210, 231, 252, 273, 294, 315, 336, 357, 378, 399, 420, 441, 462, 483, 504, 524, 546, 567, 588, 608, 610]"
54,39167.60154132084,52492.755206111244,7.410761489138252,205250.24479388882,31,"[0, 9, 29, 51, 71, 92, 114, 134, 154, 175, 195, 216, 237, 259, 281, 302, 323, 345, 367, 389, 411, 433, 454, 476, 497, 519, 541, 562, 584, 605, 610]"
55,39240.07804174398,52609.446279324984,7.42877432997016,205133.5537206749,31,"[0, 7, 27, 48, 68, 89, 110, 132, 152, 174, 195, 215, 235, 256, 278, 299, 321, 343, 365, 387, 408, 430, 451, 473, 494, 515, 536, 557, 579, 600, 610]"
56,39121.683857579475,52411.96971749388,7.398345669294314,205331.03028250617,31,"[0, 7, 29, 49, 69, 91, 111, 131, 152, 172, 193, 214, 236, 258, 279, 300, 321, 343, 365, 387, 409, 431, 452, 474, 495, 517, 538, 560, 581, 603, 610]"
57,39226.459258957446,52611.34724895197,7.429088425851024,205131.65275104807,31,"[0, 8, 30, 50, 70, 92, 114, 134, 155, 175, 195, 216, 236, 258, 279, 300, 321, 343, 364, 386, 408, 429, 451, 473, 494, 515, 536, 557, 579, 600, 610]"
58,39200.52134647563,52562.68958444595,7.421530316813932,205180.310415554,31,"[0, 8, 28, 49, 70, 91, 111, 131, 152, 173, 194, 216, 237, 259, 280, 302, 323, 344, 366, 388, 410, 431, 453, 474, 495, 516, 537, 558, 579, 601, 610]"
59,39148.51186229073,52352.39585791677,7.389278229828995,205390.60414208315,31,"[0, 20, 40, 60, 82, 104, 125, 146, 167, 188, 209, 231, 252, 273, 294, 315, 336, 357, 378, 399, 420, 441, 462, 483, 504, 525, 546, 566, 588, 609, 610]"
60,39303.985876318555,52691.570119524855,7.441399517856001,205051.4298804751,31,"[0, 8, 29, 50, 71, 92, 113, 134, 154, 175, 195, 217, 238, 259, 281, 301, 322, 344, 366, 388, 410, 432, 453, 475, 497, 517, 537, 558, 580, 601, 610]"
61,39295.13452325371,52665.91453914878,7.437533322301464,205077.0854608512,31,"[0, 5, 27, 47, 68, 88, 108, 129, 149, 170, 191, 212, 233, 255, 276, 297, 319, 341, 362, 384, 405, 427, 448, 470, 492, 513, 535, 556, 578, 599, 610]"
62,39229.75201366363,52478.35320134335,7.408659138593271,205264.64679865664,31,"[0, 21, 41, 61, 82, 102, 123, 144, 166, 187, 208, 229, 250, 272, 293, 315, 336, 357, 378, 399, 420, 441, 462, 483, 504, 525, 546, 567, 588, 609, 610]"
63,39236.35847509886,52619.1267425706,7.4302426201114695,205123.8732574294,31,"[0, 6, 26, 48, 69, 91, 111, 132, 153, 174, 196, 216, 236, 258, 279, 300, 322, 344, 366, 388, 409, 430, 451, 473, 494, 516, 538, 559, 581, 601, 610]"
64,39137.1353736118,52481.27941301115,7.409003108201336,205261.72058698887,31,"[0, 7, 27, 49, 70, 90, 111, 132, 153, 174, 196, 217, 238, 259, 280, 302, 323, 345, 367, 388, 410, 432, 453, 475, 496, 517, 539, 560, 581, 601, 610]"
65,39124.30619525167,52414.67629355796,7.398793857137119,205328.32370644208,31,"[0, 11, 31, 52, 74, 94, 114, 135, 155, 176, 196, 216, 236, 257, 278, 299, 321, 343, 365, 387, 409, 430, 452, 474, 496, 517, 538, 558, 578, 599, 610]"
66,39181.79500643251,52546.7143986736,7.419076693480355,205196.28560132632,31,"[0, 7, 27, 48, 69, 90, 111, 133, 154, 174, 195, 216, 237, 259, 281, 302, 323, 345, 367, 388, 410, 431, 453, 474, 495, 516, 537, 558, 580, 602, 610]"
67,39308.46140475647,52575.65888992655,7.42361579549609,205167.34111007335,31,"[0, 21, 42, 63, 83, 105, 126, 147, 167, 188, 209, 231, 252, 273, 294, 315, 336, 357, 378, 398, 419, 440, 461, 483, 504, 525, 546, 567, 588, 608, 610]"
68,39123.96215816495,52467.075503137814,7.406850605141586,205275.9244968623,31,"[0, 6, 28, 50, 71, 91, 113, 134, 155, 175, 195, 215, 236, 258, 279, 300, 322, 344, 366, 387, 409, 430, 451, 473, 494, 515, 536, 557, 578, 598, 610]"
69,39216.902335607265,52542.66741047616,7.418473817353354,205200.33258952387,31,"[0, 8, 29, 49, 70, 92, 112, 133, 154, 175, 195, 215, 237, 258, 279, 299, 321, 343, 365, 387, 409, 431, 453, 475, 496, 517, 538, 559, 580, 600, 610]"
70,39190.83649242763,52544.31790893991,7.418745182304825,205198.68209106007,31,"[0, 11, 31, 52, 73, 94, 114, 134, 154, 174, 194, 215, 236, 258, 278, 299, 321, 343, 365, 387, 409, 430, 451, 472, 493, 515, 536, 558, 579, 600, 610]"
71,39226.64333614616,52622.795156584325,7.430853765368441,205120.20484341576,31,"[0, 6, 28, 50, 71, 93, 113, 134, 154, 174, 196, 216, 237, 258, 279, 300, 321, 342, 364, 386, 407, 429, 450, 472, 494, 516, 537, 558, 579, 601, 610]"
72,39234.50387855085,52603.076144736646,7.427757969443466,205139.92385526333,31,"[0, 10, 31, 51, 71, 92, 114, 135, 155, 176, 196, 216, 238, 259, 280, 302, 324, 345, 367, 389, 410, 432, 453, 475, 496, 517, 538, 559, 581, 603, 610]"
73,39140.12565804044,52438.10713228496,7.4023718718812,205304.8928677151,31,"[0, 4, 26, 46, 66, 87, 109, 130, 152, 172, 193, 213, 234, 255, 277, 299, 321, 343, 365, 387, 409, 430, 452, 473, 494, 516, 538, 560, 582, 604, 610]"
74,39259.66602095146,52592.10697255121,7.42609992363315,205150.89302744876,31,"[0, 14, 36, 58, 78, 100, 121, 142, 164, 185, 206, 227, 248, 269, 290, 311, 332, 354, 375, 396, 417, 439, 460, 481, 503, 524, 546, 567, 588, 609, 610]"
75,39333.56884450605,52606.038993173905,7.428317944758338,205136.96100682608,31,"[0, 18, 40, 62, 83, 103, 125, 147, 168, 189, 209, 230, 251, 272, 294, 315, 336, 357, 378, 399, 420, 441, 462, 483, 504, 525, 545, 566, 587, 609, 610]"
76,39138.05563522062,52494.584197333,7.4110587420345375,205248.415802667,31,"[0, 7, 27, 48, 69, 91, 111, 132, 153, 174, 195, 216, 236, 258, 279, 301, 323, 344, 366, 388, 410, 431, 452, 473, 494, 515, 536, 557, 578, 599, 610]"
77,39182.19559088324,52410.62588557626,7.398232586416002,205332.37411442376,31,"[0, 20, 41, 62, 82, 103, 124, 145, 166, 187, 208, 229, 250, 272, 294, 315, 336, 357, 378, 399, 420, 441, 462, 483, 504, 525, 546, 567, 588, 609, 610]"
78,39165.62869125071,52561.637666540424,7.421404187303205,205181.36233345952,31,"[0, 10, 31, 51, 71, 91, 112, 132, 153, 174, 195, 216, 238, 259, 280, 301, 323, 345, 367, 388, 409, 430, 451, 473, 494, 515, 536, 557, 578, 599, 610]"
79,39221.892227754186,52561.78356499615,7.421384245894008,205181.2164350038,31,"[0, 8, 28, 49, 69, 89, 111, 133, 154, 174, 195, 216, 238, 259, 281, 302, 324, 346, 368, 390, 412, 434, 455, 477, 498, 520, 541, 562, 583, 605, 610]"
80,39178.91692683556,52501.71839951001,7.412172662716518,205241.28160049007,31,"[0, 6, 27, 49, 70, 90, 112, 133, 153, 173, 194, 214, 234, 256, 278, 299, 321, 343, 365, 387, 409, 430, 451, 473, 495, 516, 537, 558, 579, 600, 610]"
81,39309.419927712515,52587.835766947275,7.4255253468052596,205155.16423305272,31,"[0, 19, 39, 59, 81, 101, 122, 143, 165, 187, 208, 229, 250, 272, 293, 315, 336, 357, 378, 399, 420, 441, 462, 483, 504, 525, 545, 566, 587, 608, 610]"
82,39302.89544217736,52765.85466828944,7.452874890502133,204977.14533171058,31,"[0, 8, 30, 50, 71, 91, 112, 132, 153, 175, 196, 217, 238, 259, 281, 302, 323, 345, 366, 387, 409, 430, 451, 473, 495, 516, 537, 557, 579, 601, 610]"
83,39176.724187830594,52503.774505970934,7.412482473994606,205239.2254940291,31,"[0, 6, 27, 48, 68, 90, 112, 133, 153, 174, 196, 216, 237, 258, 279, 301, 322, 344, 365, 387, 409, 431, 453, 475, 497, 518, 539, 561, 583, 603, 610]"
84,39260.89990379938,52607.88471309298,7.428519727111751,205135.11528690698,31,"[0, 9, 31, 51, 73, 93, 113, 135, 155, 175, 195, 216, 236, 257, 279, 301, 323, 344, 366, 388, 409, 431, 453, 475, 497, 518, 539, 560, 581, 603, 610]"
85,39206.14427067482,52513.71372532293,7.413997647591781,205229.28627467706,31,"[0, 3, 24, 44, 65, 85, 106, 127, 148, 169, 190, 212, 234, 255, 276, 298, 320, 342, 364, 386, 408, 430, 452, 473, 495, 517, 538, 559, 581, 601, 610]"
86,39220.55670268979,52448.7106028469,7.404107407504534,205294.28939715307,31,"[0, 19, 39, 61, 83, 104, 126, 146, 167, 189, 210, 231, 252, 273, 294, 315, 336, 357, 378, 399, 420, 441, 462, 483, 504, 525, 546, 567, 588, 609, 610]"
87,39174.3404037935,52501.42628680786,7.4121477994916845,205241.57371319213,31,"[0, 8, 30, 50, 72, 94, 115, 135, 155, 175, 195, 215, 236, 257, 278, 298, 320, 342, 364, 386, 408, 430, 452, 473, 495, 517, 538, 559, 581, 602, 610]"
88,39207.5708066153,52585.31801757305,7.425042493383174,205157.68198242696,31,"[0, 6, 26, 48, 68, 89, 111, 131, 151, 172, 193, 215, 236, 258, 279, 301, 322, 344, 366, 387, 408, 430, 451, 473, 494, 515, 536, 557, 578, 599, 610]"
89,39257.30392827373,52515.89131910768,7.414435953213587,205227.1086808923,31,"[0, 19, 39, 61, 82, 102, 123, 144, 165, 186, 207, 229, 251, 272, 293, 315, 336, 357, 378, 399, 420, 441, 462, 483, 504, 525, 546, 567, 588, 609, 610]"
90,39158.60332127875,52522.015041741186,7.415314113582363,205220.98495825878,31,"[0, 4, 26, 48, 68, 89, 110, 131, 153, 174, 195, 216, 236, 257, 278, 300, 322, 344, 366, 387, 408, 429, 451, 472, 494, 516, 537, 557, 578, 599, 610]"
91,39286.74117500263,52687.24557504207,7.440733098863816,205055.754424958,31,"[0, 13, 33, 53, 74, 95, 115, 136, 156, 176, 196, 217, 238, 259, 281, 303, 325, 346, 367, 388, 410, 432, 454, 476, 497, 518, 540, 562, 583, 604, 610]"
92,39183.818156120775,52510.744209648205,7.413555185820265,205232.25579035177,31,"[0, 6, 28, 50, 72, 92, 114, 134, 155, 176, 197, 217, 237, 258, 279, 301, 323, 345, 367, 389, 410, 432, 454, 476, 497, 517, 538, 560, 582, 602, 610]"
93,39329.466221431154,52687.955755378825,7.440841135781596,205055.04424462115,31,"[0, 7, 28, 48, 70, 91, 112, 132, 154, 174, 194, 214, 234, 256, 278, 300, 322, 344, 365, 387, 409, 431, 453, 474, 495, 516, 537, 558, 579, 600, 610]"
94,39213.580262166164,52453.240746380776,7.404740536659824,205289.75925361927,31,"[0, 20, 41, 62, 83, 105, 126, 147, 168, 189, 210, 231, 252, 273, 294, 315, 335, 356, 377, 398, 419, 440, 461, 482, 504, 525, 545, 566, 587, 608, 610]"
95,39257.16411935227,52655.33947922587,7.435871665002547,205087.66052077408,31,"[0, 7, 28, 48, 68, 89, 109, 131, 152, 173, 193, 215, 236, 257, 278, 300, 321, 343, 364, 386, 407, 429, 450, 472, 493, 514, 536, 557, 578, 599, 610]"
96,39318.37608366331,52727.02918645233,7.446903290549488,205015.97081354773,31,"[0, 3, 24, 46, 68, 88, 108, 130, 151, 171, 192, 214, 235, 257, 278, 300, 321, 342, 364, 386, 407, 429, 450, 471, 492, 514, 535, 556, 577, 597, 610]"
97,39284.93998903741,52683.117388952225,7.440089370704263,205059.8826110477,31,"[0, 7, 29, 51, 72, 94, 116, 136, 157, 177, 198, 219, 239, 260, 281, 303, 325, 347, 368, 389, 411, 433, 455, 477, 498, 519, 541, 562, 583, 603, 610]"
98,39146.11962782044,52433.28605270159,7.401610879877753,205309.7139472984,31,"[0, 4, 26, 46, 67, 88, 110, 131, 151, 171, 192, 214, 236, 257, 279, 300, 321, 343, 365, 387, 409, 431, 453, 475, 496, 517, 538, 560, 582, 602, 610]"
99,39142.44524176187,52473.08900166899,7.407792591942296,205269.91099833098,31,"[0, 8, 28, 49, 71, 92, 112, 133, 153, 174, 194, 214, 235, 256, 278, 300, 321, 343, 364, 386, 408, 429, 451, 473, 494, 516, 538, 559, 581, 603, 610]"
100,39198.26355741114,52509.14964842874,7.413279130613597,205233.8503515713,31,"[0, 6, 26, 46, 66, 87, 109, 130, 151, 171, 193, 215, 236, 257, 279, 301, 322, 344, 366, 388, 410, 432, 453, 475, 496, 518, 539, 560, 582, 603, 610]"
101,39257.853181015314,52605.943249547956,7.4281853926190164,205137.056750452,31,"[0, 6, 28, 48, 68, 90, 111, 133, 153, 173, 195, 215, 237, 258, 279, 301, 323, 345, 367, 389, 410, 432, 454, 475, 496, 517, 538, 560, 582, 604, 610]"
102,39040.918619467826,52342.35972977934,7.387651304987854,205400.64027022064,31,"[0, 7, 28, 48, 68, 90, 111, 132, 154, 174, 194, 215, 236, 257, 278, 300, 321, 343, 365, 387, 409, 430, 452, 473, 494, 515, 536, 557, 578, 599, 610]"
103,39264.1861149552,52525.13386540178,7.415852519519146,205217.8661345983,31,"[0, 17, 38, 58, 80, 102, 124, 144, 165, 187, 209, 230, 251, 272, 293, 314, 335, 356, 377, 398, 420, 441, 462, 483, 504, 525, 546, 567, 587, 609, 610]"
104,39292.592660619564,52557.4507576884,7.420812422207589,205185.54924231162,31,"[0, 20, 42, 63, 83, 103, 124, 146, 167, 188, 210, 231, 252, 273, 294, 315, 336, 357, 378, 398, 419, 440, 461, 483, 504, 525, 546, 567, 588, 608, 610]"
105,39126.098186960066,52486.229367295986,7.409795510963644,205256.770632704,31,"[0, 7, 27, 48, 69, 91, 111, 133, 153, 174, 195, 216, 237, 258, 279, 301, 323, 345, 366, 388, 409, 430, 451, 473, 495, 516, 537, 557, 578, 599, 610]"
