run,total_cost_eur
1,39477.209400495434
2,39439.85940274669
3,39533.297591481925
4,39562.01125329672
5,39331.35589662931
6,39594.542219375195
7,39494.61162279187
8,39451.9036121193
9,39496.178415521965
10,39536.35676711603
11,39487.471287671906
12,39471.14586685919
13,39498.17810721871
14,39584.13787870178
15,39417.52848711611
16,39468.79098843672
17,39391.99210973916
18,39527.05976975439
19,39554.097767290674
20,39566.93797232207
21,39405.23804940223
22,39510.16679935485
23,39369.391872326894
24,39476.040088032925
25,39452.872952126265
26,39376.875315991965
27,39461.119371975205
28,39449.48511471635
29,39545.99360263502
30,39573.02700557335
