run,total_cost_eur
1,39421.381673605254
2,39512.024083593395
3,39510.99616613075
4,39474.407463481984
5,39559.018669169236
6,39468.123371059126
7,39583.14384390336
8,39574.28213617845
9,39399.59534643614
10,39486.162889618776
11,39527.11747998797
12,39305.8110800777
13,39496.89906388041
14,39447.94680353498
15,39360.3505258208
16,39512.19499595595
17,39583.511493249964
18,39434.22922829983
19,39444.55417985578
20,39446.82716021247
21,39473.30225301711
22,39518.05492931334
23,39387.36097290882
24,39395.1935385946
25,39484.842884281614
26,39386.76304810038
27,39416.03393213084
28,39484.44888064502
29,39532.671679233754
30,39419.845790446
