run,total_cost_eur
1,39662.379901568114
2,39504.35251884456
3,39547.83041778632
4,39580.25787306569
5,39534.204360523036
6,39482.560069300365
7,39536.476703028835
8,39514.56431223749
9,39560.264572515334
10,39496.53663434137
11,39502.19715543384
12,39605.12199529934
13,39496.15098759995
14,39562.205990210154
15,39622.45258742681
16,39491.253097676
17,39435.06961131177
18,39544.23636159934
19,39573.42101337521
20,39514.850420044226
21,39614.22793089542
22,39582.95659767925
23,39684.09129164063
24,39612.902202293546
25,39447.83065396002
26,39572.54676860869
27,39634.93919834657
28,39585.838908801554
29,39636.543572771334
30,39610.54151307991
