run,total_cost_eur
1,39448.7320473638
2,39509.337004262794
3,39458.47194593576
4,39477.93327051105
5,39494.423603997166
6,39460.64473227925
7,39446.61641505562
8,39500.59000107877
9,39544.40808986951
10,39523.0854493467
11,39508.73399515088
12,39540.594503115964
13,39565.869916891694
14,39475.37192204647
15,39497.39913651155
16,39543.811143342005
17,39435.76848630286
18,39446.85459872365
19,39507.61264493857
20,39427.98689118265
21,39486.68886340639
22,39524.92092632471
23,39477.25360810136
24,39529.147361541036
25,39489.23832872951
26,39441.66687548304
27,39624.812317652635
28,39465.426809230834
29,39573.41129231139
30,39479.65239390825
