run,total_cost_eur
1,39420.38492588568
2,39484.92752306671
3,39476.23337925338
4,39525.333659350166
5,39543.6367699593
6,39603.407618610516
7,39581.543676448404
8,39405.219732770944
9,39478.15479321715
10,39489.25294778178
11,39586.23303879782
12,39571.041362386146
13,39480.10495559491
14,39529.219497301
15,39431.7373387756
16,39524.140662746104
17,39630.5005694622
18,39517.13227770719
19,39561.150387284084
20,39482.99537668286
21,39483.36597806188
22,39350.546892664286
23,39494.35540072745
24,39413.22054136804
25,39340.62215375705
26,39445.39046270032
27,39495.83859477287
28,39469.99380039625
29,39545.04608531198
30,39314.8248942833
