run,total_cost_eur
1,39595.654410399715
2,39376.449334182485
3,39446.61233223756
4,39520.62484555066
5,39567.62169534912
6,39555.63666929356
7,39457.87551184287
8,39419.09013510293
9,39657.11328848273
10,39488.2544568504
11,39401.611634016655
12,39469.03514998466
13,39441.62896272953
14,39439.54088608872
15,39533.236188523486
16,39464.85420738337
17,39547.4420679118
18,39453.07256553197
19,39610.687822312815
20,39597.53098142661
21,39526.03491854031
22,39504.10301418595
23,39443.295318610544
24,39454.99080396267
25,39544.169944583
26,39461.9259384337
27,39520.47766020307
28,39423.75471850902
29,39549.21983802378
30,39620.20495608837
