run,total_cost_eur
1,39509.6901893405
2,39397.16986264742
3,39491.036437808136
4,39442.3763394785
5,39624.067526704544
6,39563.12461021503
7,39512.53392894465
8,39570.4654796172
9,39446.119102264216
10,39518.79707878209
11,39484.933180201144
12,39529.92199528254
13,39448.1394553414
14,39409.050491777074
15,39531.72488804951
16,39503.71952123316
17,39456.54655694621
18,39443.754482491146
19,39423.631434576644
20,39564.00328155392
21,39561.02598533492
22,39605.00882132555
23,39659.79530654149
24,39613.54027514596
25,39534.238721791124
26,39488.49939202357
27,39558.3846309762
28,39538.71870130711
29,39568.379379683945
30,39327.94209303269
