run,total_cost_eur
1,39293.430911730364
2,39466.386808484924
3,39480.87004378119
4,39410.22336658066
5,39501.110038087434
6,39514.07540120416
7,39468.749719569074
8,39424.395000510136
9,39468.11982790189
10,39405.07420532494
11,39454.46209245721
12,39435.224492933936
13,39519.47027515312
14,39434.7515216834
15,39496.91123290467
16,39515.623061163395
17,39580.153894593976
18,39450.94497047064
19,39392.14268868725
20,39664.93363532377
21,39516.50129730816
22,39431.001619253846
23,39517.67771667016
24,39483.43710524802
25,39456.282101504774
26,39498.42577176816
27,39383.58915700924
28,39558.91121376418
29,39393.809541122515
30,39380.03833849313
