run,total_cost_eur
1,39487.20905554721
2,39462.47653923057
3,39544.82539640348
4,39452.414041948265
5,39457.17581364696
6,39462.84096145599
7,39469.066821073044
8,39447.73205690323
9,39508.46401118044
10,39408.66245740362
11,39404.19476271496
12,39535.25118186207
13,39450.99534000005
14,39384.49693317135
15,39472.85122222531
16,39541.97695738438
17,39390.13168847276
18,39481.12523590311
19,39351.181352614345
20,39489.89942956995
21,39406.7273260415
22,39393.301927662746
23,39581.22194395596
24,39474.59940197915
25,39358.93768691002
26,39401.31963428655
27,39505.02612851615
28,39353.71348124208
29,39417.14111952382
30,39413.66533792546
