run,total_cost_eur
1,39647.379886409275
2,39428.212647367334
3,39592.77301855684
4,39498.071002624
5,39563.72053855125
6,39666.08675703539
7,39484.97494020282
8,39548.49813166527
9,39597.117637833566
10,39612.91998635242
11,39565.06756894425
12,39567.50608560352
13,39585.441467963574
14,39656.42723057261
15,39445.89516779866
16,39444.62003693321
17,39509.33185320884
18,39631.60268561359
19,39523.20625752746
20,39646.79947320097
21,39493.28696951301
22,39347.855884253266
23,39634.99541740171
24,39494.587196535285
25,39481.419654026475
26,39582.535990241166
27,39430.5251606194
28,39551.95654681392
29,39409.94362221541
30,39480.70167609778
